File;Incident ID;Incident Date;State;City Or County;Address;Victims Killed;Victims Injured;Total Victims;Suspects Killed;Suspects Injured;Suspects Arrested;Business/Location Name;FIPS;County;LZIP;Population;Crime Rate;Unemployment;PopulrVoteParty;Cost of Living;Median Income;Diversity Rank (Race);Diversity Rank (Gender)
MS;1254225;2018-11-13T00:00:00Z;New Mexico;Gallup;CR 1 and Defiance Draw Rd;3;1;4;1;0;0;;35031;McKinley County;87301.0;69830.0;35/1000;6.03%;D;$62525.68;$40496.99;2928.0;2701.0
MS;1254084;2018-11-12T00:00:00Z;North Carolina;Dunn;4640 Woods Crossroads Rd;3;1;4;0;0;1;;37085;Harnett County;27546.0;138832.0;19/1000;4.27%;D;$71335.84;$66125.55;1355.0;2474.0
MS;1253361;2018-11-11T00:00:00Z;Arizona;Globe;598 N Broad St;3;1;4;0;0;1;;4007;Gila County;85539.0;53922.0;40/1000;4.35%;D;$73570.06;$52807.61;2809.0;2595.0
MS;1249561;2018-11-07T00:00:00Z;California;Thousand Oaks;99 Rolling Oaks Dr;12;2;14;1;0;0;;6111;Ventura County;93010.0;832605.0;22/1000;3.82%;D;$105247.24;$102284.20;3105.0;3087.0
MS;1246727;2018-11-03T00:00:00Z;New York;Watertown;136 Franklin St;0;5;5;0;0;1;;36045;Jefferson County;13618.0;116637.0;20/1000;4.18%;D;$84814.99;$64186.89;2170.0;2573.0
MS;1247019;2018-11-02T00:00:00Z;California;Long Beach (North Long Beach);5800 block of Brayton Ave;0;4;4;0;0;0;;6037;Los Angeles County;90210.0;9721138.0;32/1000;5.17%;D;$97766.39;$78729.84;3134.0;3134.0
MS;1246489;2018-11-02T00:00:00Z;Florida;Tallahassee;1950 Thomasville Rd;2;4;6;1;0;0;;12073;Leon County;32304.0;297369.0;55/1000;3.06%;R;$71957.01;$79507.14;2827.0;2813.0
MS;1245274;2018-11-01T00:00:00Z;Missouri;Springfield;906 E Locust St;3;2;5;0;0;1;;29077;Greene County;65802.0;303293.0;62/1000;2.09%;R;$65626.59;$63136.45;2872.0;2876.0
MS;1245703;2018-11-01T00:00:00Z;Minnesota;Minneapolis;3400 block of Girard Ave N;0;5;5;0;0;0;;27053;Hennepin County;55369.0;1260121.0;32/1000;2.54%;D;$92792.94;$108344.52;3116.0;3119.0
MS;1244754;2018-10-31T00:00:00Z;Michigan;Detroit;19000 block of Langholm St;1;3;4;0;0;1;;26163;Wayne County;48134.0;1757043.0;42/1000;4.86%;D;$70843.33;$62254.41;3127.0;3124.0
MS;1246059;2018-10-30T00:00:00Z;California;Vallejo;Woodrow Ave and Reis Ave;2;3;5;0;0;0;;6095;Solano County;94533.0;448747.0;31/1000;4.39%;D;$95069.76;$94936.23;2880.0;2956.0
MS;1244424;2018-10-30T00:00:00Z;California;Los Angeles;65th Place and Vermont Avenue;0;5;5;0;0;0;;6037;Los Angeles County;90210.0;9721138.0;32/1000;5.17%;D;$97766.39;$78729.84;3134.0;3134.0
MS;1243331;2018-10-29T00:00:00Z;California;Riverside;3252 Mission Inn Ave;0;7;7;0;0;0;;6065;Riverside County;92591.0;2473902.0;30/1000;4.35%;D;$83185.10;$79001.95;3122.0;3120.0
MS;1243010;2018-10-28T00:00:00Z;Arkansas;El Dorado;2 Whites Quarters;2;2;4;0;0;1;;5139;Union County;71730.0;37752.0;42/1000;5.03%;R;$61151.72;$57669.63;1809.0;1683.0
MS;1242807;2018-10-27T00:00:00Z;Tennessee;Memphis;4275 Lady Slipper Ln;0;5;5;0;0;3;;47157;Shelby County;38106.0;916371.0;61/1000;4.73%;R;$65028.53;$67305.37;3104.0;3095.0
MS;1241819;2018-10-27T00:00:00Z;Pennsylvania;Pittsburgh;5898 Wilkins Ave;11;6;17;0;1;1;;42003;Allegheny County;15132.0;1233253.0;24/1000;4.39%;D;$72874.88;$87770.01;3081.0;3084.0
MS;1242443;2018-10-26T00:00:00Z;New Jersey;Jersey City;77 Brinkerhoff St;1;3;4;0;0;2;;34017;Hudson County;7094.0;703366.0;18/1000;3.76%;D;$94387.86;$78058.29;3007.0;2990.0
MS;1240751;2018-10-24T00:00:00Z;Illinois;Chicago;6200 block of S King Dr;0;5;5;0;0;0;;17031;Cook County;60103.0;5109292.0;33/1000;5.30%;D;$81548.25;$82910.04;3133.0;3133.0
MS;1238603;2018-10-22T00:00:00Z;Illinois;Chicago;9231 S Cottage Grove Av;0;6;6;0;0;0;;17031;Cook County;60103.0;5109292.0;33/1000;5.30%;D;$81548.25;$82910.04;3133.0;3133.0
MS;1237930;2018-10-21T00:00:00Z;Florida;Jacksonville;900 block of A Philip Randolph Blvd;1;5;6;0;0;0;;12031;Duval County;32233.0;1016536.0;39/1000;3.12%;R;$70196.46;$69769.75;3056.0;3065.0
MS;1238052;2018-10-21T00:00:00Z;Washington;Lakewood;8722 S Tacoma Way;1;3;4;0;0;4;;53053;Pierce County;98444.0;927380.0;41/1000;5.43%;D;$87294.83;$86636.39;3008.0;3101.0
MS;1234087;2018-10-16T00:00:00Z;Georgia;Atlanta;Broad St;0;4;4;0;0;0;;13121;Fulton County;30268.0;1074634.0;51/1000;3.28%;D;$79612.86;$98122.47;3063.0;3057.0
MS;1233663;2018-10-15T00:00:00Z;Tennessee;Columbia;1075 Carters Creek Pike;4;0;4;1;0;0;;47119;Maury County;37174.0;108159.0;20/1000;3.14%;R;$70998.97;$69890.91;2180.0;2199.0
MS;1232554;2018-10-14T00:00:00Z;Texas;Fort Worth;5310 E Rosedale St;0;4;4;0;0;0;;48439;Tarrant County;76118.0;2154595.0;30/1000;3.74%;R;$72592.42;$82001.30;3120.0;3125.0
MS;1233563;2018-10-14T00:00:00Z;Nevada;Las Vegas;2815 W Lake Mead Blvd;3;1;4;0;0;1;;32003;Clark County;89018.0;2322985.0;33/1000;6.39%;D;$75364.63;$71994.88;3102.0;3117.0
MS;1233068;2018-10-14T00:00:00Z;California;Palo Alto (East Palo Alto);2500 block of Pulgas Ave;2;2;4;0;0;0;;6081;San Mateo County;94080.0;729181.0;23/1000;2.48%;D;$167022.47;$145687.11;3070.0;3040.0
MS;1232288;2018-10-13T00:00:00Z;Texas;Taft;511 Wilburn St;4;1;5;0;0;2;;48409;San Patricio County;78336.0;69954.0;31/1000;6.40%;R;$69848.16;$65036.08;2684.0;2434.0
MS;1232018;2018-10-13T00:00:00Z;Missouri;St Louis;400 block of Midlothian Road;0;4;4;0;0;0;;29189;St. Louis County;63074.0;990414.0;29/1000;2.50%;R;$74576.04;$90980.90;3087.0;3086.0
MS;1232044;2018-10-12T00:00:00Z;South Carolina;Spartanburg;1620 John B White Sr Blvd;0;6;6;0;0;2;;45083;Spartanburg County;29369.0;345831.0;30/1000;3.25%;R;$62812.59;$65855.49;2771.0;2892.0
MS;1231385;2018-10-12T00:00:00Z;Nevada;Las Vegas;6500 block of W Charleston Blvd;0;4;4;0;0;0;;32003;Clark County;89018.0;2322985.0;33/1000;6.39%;D;$75364.63;$71994.88;3102.0;3117.0
MS;1229738;2018-10-08T00:00:00Z;Alabama;Birmingham;Joppa Ave;0;4;4;0;0;0;;1073;Jefferson County;35204.0;665409.0;47/1000;2.65%;R;$78158.24;$72559.63;3089.0;3042.0
MS;1226923;2018-10-06T00:00:00Z;Oklahoma;Tulsa;9453 E 31st St;0;4;4;0;0;0;;40143;Tulsa County;74047.0;677358.0;51/1000;3.12%;R;$72756.91;$72560.66;2762.0;3024.0
MS;1226853;2018-10-06T00:00:00Z;Texas;Houston;6802 Cullen Blvd;1;3;4;0;0;0;;48201;Harris County;77338.0;4780913.0;41/1000;4.41%;R;$68223.99;$73169.57;3132.0;3131.0
MS;1226384;2018-10-06T00:00:00Z;California;Oakland;Williams St and Telegraph Ave;0;4;4;0;2;0;;6001;Alameda County;94545.0;1628997.0;43/1000;3.41%;D;$117679.02;$122820.72;3114.0;3116.0
MS;1226179;2018-10-04T00:00:00Z;New Mexico;Espanola (Española);1813 N Riverside Dr;1;3;4;0;0;3;;35039;Rio Arriba County;87017.0;40048.0;22/1000;4.54%;D;$64201.13;$52616.62;2652.0;2536.0
MS;1225631;2018-10-04T00:00:00Z;Georgia;Swainsboro;Lucky St;0;4;4;0;0;3;;13107;Emanuel County;30471.0;22929.0;35/1000;4.25%;D;$59143.57;$45816.98;552.0;732.0
MS;1223865;2018-10-03T00:00:00Z;South Carolina;Florence;932 Ashton Dr;2;6;8;0;0;1;;45041;Florence County;29505.0;136721.0;48/1000;3.35%;R;$61332.93;$59380.32;2608.0;2637.0
MS;1223755;2018-10-03T00:00:00Z;Pennsylvania;Philadelphia;5101 Germantown Ave;1;4;5;0;0;0;;42101;Philadelphia County;19140.0;1567258.0;42/1000;5.71%;D;$78477.67;$56599.68;3098.0;3100.0
MS;1221758;2018-10-01T00:00:00Z;Illinois;Chicago;500 block of S Michigan Ave;2;2;4;0;0;1;;17031;Cook County;60103.0;5109292.0;33/1000;5.30%;D;$81548.25;$82910.04;3133.0;3133.0
MS;1221794;2018-09-30T00:00:00Z;California;Compton;1300 E Palmer St;1;3;4;0;0;0;;6037;Los Angeles County;90210.0;9721138.0;32/1000;5.17%;D;$97766.39;$78729.84;3134.0;3134.0
MS;1220912;2018-09-29T00:00:00Z;Florida;Orlando;1700 block of 24th St;1;4;5;0;0;2;;12095;Orange County;34787.0;1452726.0;38/1000;2.96%;R;$78305.69;$69132.09;3083.0;3093.0
MS;1220331;2018-09-28T00:00:00Z;Pennsylvania;Philadelphia;5100 block of Haverford Ave;2;2;4;0;0;0;;42101;Philadelphia County;19140.0;1567258.0;42/1000;5.71%;D;$78477.67;$56599.68;3098.0;3100.0
MS;1217150;2018-09-24T00:00:00Z;Tennessee;Memphis;1528 Ragan St;3;2;5;0;0;0;;47157;Shelby County;38106.0;916371.0;61/1000;4.73%;R;$65028.53;$67305.37;3104.0;3095.0
MS;1215954;2018-09-23T00:00:00Z;California;Baldwin Park;3700 block of Loma Lane;0;4;4;0;0;0;;6037;Los Angeles County;90210.0;9721138.0;32/1000;5.17%;D;$97766.39;$78729.84;3134.0;3134.0
MS;1215987;2018-09-23T00:00:00Z;California;Bakersfield;2600 block of Chandler Ct;1;4;5;0;0;1;;6029;Kern County;93501.0;916108.0;42/1000;7.45%;D;$70064.07;$61059.18;3107.0;3083.0
MS;1215904;2018-09-22T00:00:00Z;New York;Hempstead;Dolan St;0;4;4;0;0;0;;36059;Nassau County;11572.0;1383726.0;11/1000;2.96%;D;$126531.71;$139281.77;3092.0;3092.0
MS;1215739;2018-09-21T00:00:00Z;District of Columbia;Washington;1800 block of Benning Rd NE;0;4;4;0;0;2;;11001;District of Columbia;20011.0;671803.0;61/1000;4.91%;D;$120289.64;$116607.39;3077.0;3076.0
MS;1213926;2018-09-20T00:00:00Z;Maryland;Aberdeen;1501 Perryman Rd;3;3;6;1;0;0;;24025;Harford County;21034.0;263867.0;15/1000;3.06%;D;$81142.32;$109701.98;2561.0;2736.0
MS;1214298;2018-09-20T00:00:00Z;New York;Syracuse;1317 Midland Ave;0;5;5;0;0;0;;36067;Onondaga County;13210.0;468249.0;24/1000;3.40%;D;$81556.12;$83348.50;2884.0;2982.0
MS;1213223;2018-09-19T00:00:00Z;Wisconsin;Middleton;1850 Deming Way;0;4;4;1;0;0;;55025;Dane County;53575.0;568203.0;21/1000;2.21%;D;$84673.33;$102734.98;2992.0;3023.0
MS;1213836;2018-09-19T00:00:00Z;Illinois;Chicago;W Cermak Rd and S State St;0;4;4;0;0;0;;17031;Cook County;60103.0;5109292.0;33/1000;5.30%;D;$81548.25;$82910.04;3133.0;3133.0
MS;1213293;2018-09-19T00:00:00Z;Pennsylvania;Masontown;1 E Church St;0;4;4;1;0;0;;42051;Fayette County;15401.0;125755.0;24/1000;6.49%;D;$66344.51;$64465.16;2605.0;2567.0
MS;1212984;2018-09-18T00:00:00Z;Louisiana;New Orleans (Algiers);1100 block of Sumner St;0;4;4;0;0;0;;22071;Orleans Parish;70113.0;369749.0;55/1000;4.69%;R;$74320.90;$62954.70;2900.0;2920.0
MS;1212567;2018-09-18T00:00:00Z;Tennessee;Memphis;4622 Faronia Rd;0;4;4;0;0;5;;47157;Shelby County;38106.0;916371.0;61/1000;4.73%;R;$65028.53;$67305.37;3104.0;3095.0
MS;1211659;2018-09-17T00:00:00Z;Maryland;Silver Spring;123 Amberleigh Dr;3;1;4;1;0;0;;24031;Montgomery County;20906.0;1052521.0;17/1000;2.99%;D;$98258.18;$134261.61;2995.0;3052.0
