File,Incident ID,Incident Date,Day,Month,Year,State,City Or County,Address,Victims Killed,Victims Injured,Total Victims,Suspects Killed,Suspects Injured,Suspects Arrested,Business/Location Name,County
MS,1240751,2018-10-24T00:00:00Z,24,10,2018,Illinois,Chicago,6200 block of S King Dr,0,5,5,0,0,0,,Cook County
MS,1238603,2018-10-22T00:00:00Z,22,10,2018,Illinois,Chicago,9231 S Cottage Grove Av,0,6,6,0,0,0,,Cook County
MS,1237930,2018-10-21T00:00:00Z,21,10,2018,Florida,Jacksonville,900 block of A Philip Randolph Blvd,1,5,6,0,0,0,,Duval County
MS,1238052,2018-10-21T00:00:00Z,21,10,2018,Washington,Lakewood,8722 S Tacoma Way,1,3,4,0,0,4,,Pierce County
MS,1234087,2018-10-16T00:00:00Z,16,10,2018,Georgia,Atlanta,Broad St,0,4,4,0,0,0,,Fulton County
MS,1233663,2018-10-15T00:00:00Z,15,10,2018,Tennessee,Columbia,1075 Carters Creek Pike,4,0,4,1,0,0,,Maury County
MS,1232554,2018-10-14T00:00:00Z,14,10,2018,Texas,Fort Worth,5310 E Rosedale St,0,4,4,0,0,0,,Tarrant County
MS,1233563,2018-10-14T00:00:00Z,14,10,2018,Nevada,Las Vegas,2815 W Lake Mead Blvd,3,1,4,0,0,1,,Clark County
MS,1233068,2018-10-14T00:00:00Z,14,10,2018,California,Palo Alto (East Palo Alto),2500 block of Pulgas Ave,2,2,4,0,0,0,,San Mateo County
MS,1232288,2018-10-13T00:00:00Z,13,10,2018,Texas,Taft,511 Wilburn St,4,1,5,0,0,2,,San Patricio County
MS,1232018,2018-10-13T00:00:00Z,13,10,2018,Missouri,St Louis,400 block of Midlothian Road,0,4,4,0,0,0,,St. Louis County
MS,1232044,2018-10-12T00:00:00Z,12,10,2018,South Carolina,Spartanburg,1620 John B White Sr Blvd,0,6,6,0,0,2,,Spartanburg County
MS,1231385,2018-10-12T00:00:00Z,12,10,2018,Nevada,Las Vegas,6500 block of W Charleston Blvd,0,4,4,0,0,0,,Clark County
MS,1229738,2018-10-08T00:00:00Z,08,10,2018,Alabama,Birmingham,Joppa Ave,0,4,4,0,0,0,,Jefferson County
MS,1226923,2018-10-06T00:00:00Z,06,10,2018,Oklahoma,Tulsa,9453 E 31st St,0,4,4,0,0,0,,Tulsa County
MS,1226853,2018-10-06T00:00:00Z,06,10,2018,Texas,Houston,6802 Cullen Blvd,1,3,4,0,0,0,,Harris County
MS,1226384,2018-10-06T00:00:00Z,06,10,2018,California,Oakland,Williams St and Telegraph Ave,0,4,4,0,2,0,,Alameda County
MS,1226179,2018-10-04T00:00:00Z,04,10,2018,New Mexico,Espanola (Española),1813 N Riverside Dr,1,3,4,0,0,3,,Rio Arriba County
MS,1225631,2018-10-04T00:00:00Z,04,10,2018,Georgia,Swainsboro,Lucky St,0,4,4,0,0,3,,Emanuel County
MS,1223865,2018-10-03T00:00:00Z,03,10,2018,South Carolina,Florence,932 Ashton Dr,2,6,8,0,0,1,,Florence County
MS,1223755,2018-10-03T00:00:00Z,03,10,2018,Pennsylvania,Philadelphia,5101 Germantown Ave,1,4,5,0,0,0,,Philadelphia County
MS,1221758,2018-10-01T00:00:00Z,01,10,2018,Illinois,Chicago,500 block of S Michigan Ave,2,2,4,0,0,1,,Cook County
MS,1221794,2018-09-30T00:00:00Z,30,09,2018,California,Compton,1300 E Palmer St,1,3,4,0,0,0,,Los Angeles County
MS,1220912,2018-09-29T00:00:00Z,29,09,2018,Florida,Orlando,1700 block of 24th St,1,4,5,0,0,2,,Orange County
MS,1220331,2018-09-28T00:00:00Z,28,09,2018,Pennsylvania,Philadelphia,5100 block of Haverford Ave,2,2,4,0,0,0,,Philadelphia County
MS,1217150,2018-09-24T00:00:00Z,24,09,2018,Tennessee,Memphis,1528 Ragan St,3,2,5,0,0,0,,Shelby County
MS,1215954,2018-09-23T00:00:00Z,23,09,2018,California,Baldwin Park,3700 block of Loma Lane,0,4,4,0,0,0,,Los Angeles County
MS,1215987,2018-09-23T00:00:00Z,23,09,2018,California,Bakersfield,2600 block of Chandler Ct,1,4,5,0,0,1,,Kern County
MS,1215904,2018-09-22T00:00:00Z,22,09,2018,New York,Hempstead,Dolan St,0,4,4,0,0,0,,Nassau County
MS,1215739,2018-09-21T00:00:00Z,21,09,2018,District of Columbia,Washington,1800 block of Benning Rd NE,0,4,4,0,0,2,,District of Columbia
MS,1213926,2018-09-20T00:00:00Z,20,09,2018,Maryland,Aberdeen,1501 Perryman Rd,3,3,6,1,0,0,,Harford County
MS,1214298,2018-09-20T00:00:00Z,20,09,2018,New York,Syracuse,1317 Midland Ave,0,5,5,0,0,0,,Onondaga County
MS,1213223,2018-09-19T00:00:00Z,19,09,2018,Wisconsin,Middleton,1850 Deming Way,0,4,4,1,0,0,,Dane County
MS,1213836,2018-09-19T00:00:00Z,19,09,2018,Illinois,Chicago,W Cermak Rd and S State St,0,4,4,0,0,0,,Cook County
MS,1213293,2018-09-19T00:00:00Z,19,09,2018,Pennsylvania,Masontown,1 E Church St,0,4,4,1,0,0,,Fayette County
MS,1212984,2018-09-18T00:00:00Z,18,09,2018,Louisiana,New Orleans (Algiers),1100 block of Sumner St,0,4,4,0,0,0,,County not found
MS,1212567,2018-09-18T00:00:00Z,18,09,2018,Tennessee,Memphis,4622 Faronia Rd,0,4,4,0,0,5,,Shelby County
MS,1211659,2018-09-17T00:00:00Z,17,09,2018,Maryland,Silver Spring,123 Amberleigh Dr,3,1,4,1,0,0,,Montgomery County
MS,1210742,2018-09-15T00:00:00Z,15,09,2018,Wisconsin,Milwaukee,820 S 21st St,0,4,4,0,0,0,,Milwaukee County
MS,1209006,2018-09-12T00:00:00Z,12,09,2018,California,Bakersfield,660 Manwell Blvd,5,0,5,1,0,0,,Kern County
MS,1208397,2018-09-11T00:00:00Z,11,09,2018,Illinois,Chicago,10600 block of S Bensley Avenue,0,4,4,0,0,0,,Cook County
MS,1206828,2018-09-10T00:00:00Z,10,09,2018,Tennessee,Memphis,140 Lt George W Lee Ave,0,5,5,0,0,1,,Shelby County
MS,1206409,2018-09-09T00:00:00Z,09,09,2018,Illinois,Elgin,550 S McLean Blvd,1,3,4,0,0,0,,Kane County
MS,1206375,2018-09-09T00:00:00Z,09,09,2018,Alabama,Auburn,224 W Magnolia St,1,4,5,0,0,2,,Lee County
MS,1206476,2018-09-09T00:00:00Z,09,09,2018,Florida,Jacksonville,,0,4,4,0,0,0,,Duval County
MS,1206050,2018-09-07T00:00:00Z,07,09,2018,Minnesota,Minneapolis,2024 N Washington Ave,1,3,4,0,0,1,,Hennepin County
MS,1204538,2018-09-06T00:00:00Z,06,09,2018,Ohio,Cincinnati,511 Walnut St,3,2,5,1,0,0,,Hamilton County
MS,1204486,2018-09-04T00:00:00Z,04,09,2018,Georgia,Albany,1200 block of Gillespie Ave,0,4,4,0,0,1,,Dougherty County
MS,1202134,2018-09-02T00:00:00Z,02,09,2018,Texas,San Antonio,600 block of Morningview St,0,4,4,0,0,0,,Bexar County
MS,1202274,2018-09-02T00:00:00Z,02,09,2018,New Jersey,Paterson,43 12th Ave,2,2,4,0,0,0,,Passaic County
MS,1202318,2018-09-02T00:00:00Z,02,09,2018,Alabama,Birmingham,500 23rd St S,0,6,6,0,1,0,,Jefferson County
MS,1201885,2018-09-02T00:00:00Z,02,09,2018,Arkansas,Fort Smith,801 Garrison Ave,0,4,4,0,0,0,,Sebastian County
MS,1202332,2018-09-02T00:00:00Z,02,09,2018,California,San Bernardino,1277 East Lynwood Drive,0,8,8,0,0,0,,San Bernardino County
MS,1202437,2018-09-02T00:00:00Z,02,09,2018,New Jersey,Trenton,Stuyvesant Ave and Bryn Mawr Ave,0,4,4,0,0,0,,Mercer County
MS,1201973,2018-09-01T00:00:00Z,01,09,2018,Florida,Fort Lauderdale (Lauderhill),5225 NW 24th Ct,1,3,4,0,0,0,,County not found
MS,1201135,2018-09-01T00:00:00Z,01,09,2018,Ohio,Cleveland,3232 Lakeside Ave East,1,7,8,0,0,0,,Cuyahoga County
MS,1200904,2018-08-31T00:00:00Z,31,08,2018,Colorado,Aurora,1900 block of Peoria St,2,2,4,0,1,1,,Adams County
MS,1197278,2018-08-27T00:00:00Z,27,08,2018,Arkansas,Pine Bluff,2600 block of W 34th Ave,1,3,4,0,0,0,,Jefferson County
MS,1196028,2018-08-26T00:00:00Z,26,08,2018,Florida,Jacksonville,2 Independent Dr,2,9,11,1,0,0,,Duval County
MS,1195537,2018-08-25T00:00:00Z,25,08,2018,Virginia,Richmond,4 N 18th St,0,5,5,0,0,0,,Richmond City
MS,1196051,2018-08-25T00:00:00Z,25,08,2018,Tennessee,Nashville,1564 9th Ave N,1,4,5,0,0,0,,Davidson County
MS,1194315,2018-08-23T00:00:00Z,23,08,2018,Pennsylvania,Philadelphia,5800 block of Oakland St,0,4,4,0,0,0,,Philadelphia County
MS,1194598,2018-08-23T00:00:00Z,23,08,2018,Maryland,Baltimore,1700 block of Homestead St,0,4,4,0,0,0,,Baltimore City
MS,1194057,2018-08-22T00:00:00Z,22,08,2018,Missouri,St Louis,I-64 and Jefferson Ave,0,4,4,0,0,0,,St. Louis County
MS,1192788,2018-08-21T00:00:00Z,21,08,2018,Tennessee,Memphis,2119 E Alcy Rd,0,4,4,0,0,1,,Shelby County
MS,1191368,2018-08-20T00:00:00Z,20,08,2018,Tennessee,Jackson,60 Heritage Square,1,4,5,0,0,0,,Madison County
MS,1192036,2018-08-20T00:00:00Z,20,08,2018,Ohio,Cleveland,E 94th St and Kinsman Rd,1,3,4,0,0,0,,Cuyahoga County
MS,1191279,2018-08-19T00:00:00Z,19,08,2018,Illinois,Chicago,7400 block of S Dante Ave,0,5,5,0,0,0,,Cook County
